#,Keyword,Position,Position History,Position History Date,Volume,URL,Difficulty,Traffic (desc),CPC,Last Update,Page URL inside,SERP Features
1,タイヤ ひび割れ,2,2,,6600,https://tirefesta.com/timing,0,1508,0.4,2019/07/29 19:37,,"Site links, Image pack, Top stories, Thumbnail"
2,タイヤ 寿命,10,10,,6900,https://tirefesta.com/timing,0,363,1,2019/07/30 10:13,,"Featured snippet, Thumbnail, Image pack, Top stories"
3,タイヤ ヒビ,2,2,,900,https://tirefesta.com/timing,0,240,0.7,2019/07/29 22:41,,"Image pack, Site links, Top stories, Thumbnail"
4,タイヤ 劣化,1,1,,400,https://tirefesta.com/timing,1,216,1.2,2019/07/30 16:33,,"Image pack, Top stories, Thumbnail, Video"
5,タイヤ　ひび割れ,2,2,,600,https://tirefesta.com/timing,0,211,,2019/07/25 8:19,,"Site links, Image pack, Top stories, Thumbnail"
6,タイヤひび割れ,2,2,,700,https://tirefesta.com/timing,0,193,,2019/07/27 16:15,,"Site links, Image pack, Top stories, Thumbnail"
7,タイヤのひび割れ,2,2,,600,https://tirefesta.com/timing,0,134,0.06,2019/07/26 15:52,,"Site links, Image pack, Top stories, Thumbnail, Video"
8,タイヤ 交換時期,14,14,,4700,https://tirefesta.com/timing,1,127,,2019/07/29 6:27,,"Featured snippet, Thumbnail, Site links, Top stories"
9,タイヤ ひび,4,4,,500,https://tirefesta.com/timing,0,93,,2019/07/24 19:08,,"Site links, Image pack, Top stories, Thumbnail"
10,タイヤ 溝,9,9,,2500,https://tirefesta.com/timing,2,91,0.4,2019/07/29 23:09,,"Image pack, Top stories, Thumbnail"
11,タイヤ交換時期,14,15,2019/07/28 15:35,4100,https://tirefesta.com/timing,1,77,0.1,2019/07/30 13:29,,"Featured snippet, Thumbnail, Site links, Top stories"
12,タイヤ 亀裂,6,4,2019/07/19 6:31,600,https://tirefesta.com/timing,0,75,0.35,2019/07/26 12:33,,"Site links, Image pack, Video"
13,タイヤ ひび割れ バースト,3,2,2019/06/30 17:39,250,https://tirefesta.com/timing,0,68,0.4,2019/07/27 7:17,,"Site links, Image pack, Top stories, Thumbnail, Video"
14,タイヤ ワイヤー,4,4,,700,https://tirefesta.com/timing,0,64,,2019/07/27 19:16,,"Image pack, Site links, Video"
15,タイヤ ひび割れ 側面,2,2,,400,https://tirefesta.com/timing,0,55,0.25,2019/07/05 12:07,,"Image pack, Site links, Video"
16,タイヤ スリップサイン,12,11,2019/07/27 1:08,4200,https://tirefesta.com/timing,2,54,0.3,2019/07/29 13:33,,"Image pack, Top stories, Thumbnail"
17,タイヤ寿命,10,11,2019/07/18 12:46,1300,https://tirefesta.com/timing,0,52,,2019/07/25 3:20,,"Featured snippet, Thumbnail, Image pack, Top stories"
18,タイヤの寿命,14,13,2019/07/19 16:30,1600,https://tirefesta.com/timing,0,47,0.04,2019/07/26 8:34,,"Featured snippet, Thumbnail, Top stories, Image pack"
19,自転車 タイヤ ひび割れ,6,10,2019/07/23 0:12,600,https://tirefesta.com/timing,0,47,0.05,2019/07/30 10:58,,"Site links, Image pack, Video"
20,夏タイヤ 寿命,6,6,,600,https://tirefesta.com/timing,1,47,0.15,2019/07/27 8:40,,"Featured snippet, Thumbnail, Site links, Image pack"
21,タイヤ　寿命,11,11,,1000,https://tirefesta.com/timing,0,45,,2019/07/29 9:29,,"Featured snippet, Thumbnail, Top stories, Image pack"
22,タイヤ 限界まで使う,1,1,,100,https://tirefesta.com/timing,0,43,,2019/07/30 13:05,,"Site links, Image pack"
23,タイヤ ひび割れ 溝,6,7,2019/06/14 13:48,450,https://tirefesta.com/timing,0,43,0.2,2019/07/12 8:36,,"Image pack, Site links, Video"
24,タイヤ劣化,1,2,2019/06/16 5:13,100,https://tirefesta.com/timing,1,42,,2019/07/14 20:19,,"Image pack, Video, Top stories, Thumbnail"
25,タイヤ　ヒビ,2,2,,300,https://tirefesta.com/timing,0,41,,2019/07/15 6:34,,"Image pack, Site links, Top stories, Thumbnail"
26,タイヤ ひび割れ 補修,8,7,2019/07/18 3:09,600,https://tirefesta.com/timing,0,38,0.15,2019/07/25 9:57,,"Site links, Image pack, Video"
27,タイヤ 溝 ない,1,1,,100,https://tirefesta.com/timing,0,37,,2019/07/29 3:25,,"Image pack, Top stories, Thumbnail"
28,タイヤ サイド ひび割れ,1,2,2019/06/13 6:22,100,https://tirefesta.com/timing,0,36,0.2,2019/07/11 4:12,,"Image pack, Site links, Video"
29,タイヤ 交換 時期 ひび割れ,2,3,2019/06/11 19:55,250,https://tirefesta.com/timing,0,36,0.6,2019/07/09 18:26,,"Site links, Image pack"
30,タイヤ クラック,3,5,2019/06/14 15:46,300,https://tirefesta.com/timing,0,35,0.1,2019/07/12 8:45,,"Image pack, Top stories, Thumbnail"
31,タイヤ　ひび,3,3,,300,https://tirefesta.com/timing,0,32,,2019/07/05 10:21,,"Image pack, Site links, Top stories, Thumbnail"
32,タイヤ交換時期 ひび割れ,2,3,2019/06/13 6:34,200,https://tirefesta.com/timing,0,30,0.45,2019/07/11 10:04,,"Site links, Image pack"
33,車 タイヤ ひび割れ,4,3,2019/07/01 8:08,300,https://tirefesta.com/timing,0,29,0.08,2019/07/28 11:09,,"Site links, Image pack, Top stories, Thumbnail"
34,タイヤ ひび割れ 大丈夫,3,3,,250,https://tirefesta.com/timing,0,29,0.03,2019/07/26 14:19,,"Site links, Image pack, Top stories, Thumbnail"
